X,Y,Z
87.742,133.732,49.891
81.230,133.988,49.771
84.446,133.391,49.779
88.937,133.152,49.877
82.690,133.279,49.783
87.229,132.667,49.892
83.456,132.377,49.815
84.456,132.291,49.804
89.459,131.989,49.831
88.233,132.335,49.878
85.426,131.979,49.846
82.120,131.938,49.829
87.695,131.274,49.855
83.147,131.312,49.838
89.103,130.953,49.846
84.392,130.921,49.816
85.475,130.845,49.839
87.168,130.209,49.859
88.244,130.165,49.859
80.261,130.443,49.837
85.505,129.731,49.816
89.414,129.421,49.803
81.304,129.927,49.883
88.301,128.976,49.841
82.240,129.279,49.869
86.913,128.789,49.878
80.421,128.969,49.874
84.805,128.452,49.840
86.133,128.033,49.910
81.806,128.177,49.890
87.526,127.619,49.879
84.000,127.678,49.831
85.353,127.284,49.867
80.266,127.579,49.940
86.715,126.888,49.899
88.116,126.494,49.913
89.232,126.419,49.869
84.121,126.565,49.903
86.053,126.083,50.083
82.789,126.140,50.219
81.716,126.025,50.372
87.337,125.871,49.994
93.931,135.675,49.666
95.193,135.618,49.677
90.614,135.504,49.774
92.108,135.196,49.733
96.173,134.771,49.732
93.358,134.588,49.730
91.597,134.074,49.786
95.845,133.713,49.741
93.051,133.548,49.799
94.628,133.216,49.786
90.075,133.109,49.887
91.232,133.056,49.825
93.718,132.403,49.811
94.822,132.155,49.829
95.817,131.855,49.778
91.746,131.719,49.824
92.999,131.641,49.823
90.860,130.900,49.809
95.854,130.755,49.824
92.717,130.267,49.810
95.203,129.645,49.822
93.589,129.714,49.827
92.382,129.242,49.811
96.103,129.044,49.812
93.652,128.612,49.844
95.181,128.283,49.795
96.146,127.939,49.799
92.118,127.843,49.824
93.693,127.505,49.878
95.232,127.134,49.871
91.609,126.782,49.889
93.759,126.393,49.920
95.319,126.028,49.886
90.186,125.518,49.918
92.500,126.228,49.872
96.159,126.574,49.842
85.171,121.609,50.404
96.950,116.842,49.546
98.269,116.245,49.582
96.921,115.737,49.406
97.988,114.860,49.582
97.375,113.791,49.564
99.334,112.607,49.480
97.369,112.488,49.491
98.349,112.149,49.444
99.410,111.296,49.505
97.067,111.116,49.441
98.351,110.526,49.339
98.438,109.206,49.476
99.440,108.900,49.522
97.202,108.722,49.570
100.336,113.402,49.571
100.325,112.292,49.544
100.701,111.282,49.544
101.778,110.467,49.609
97.514,125.091,49.774
99.481,125.019,49.804
98.483,124.218,49.765
99.487,123.938,49.774
97.233,123.742,49.803
98.913,122.885,49.793
98.245,121.769,49.741
98.235,120.667,49.713
97.024,120.151,49.835
99.252,119.764,49.742
98.251,119.553,49.732
97.336,118.762,49.715
98.306,117.895,49.703
99.381,117.580,49.826
99.219,120.870,49.745
99.092,115.477,49.747
99.301,121.948,49.761
97.890,122.878,49.830
104.803,124.926,49.809
106.845,124.918,49.852
108.247,124.901,49.859
109.308,124.585,49.854
101.490,123.867,49.800
104.812,123.823,49.866
108.274,123.787,49.829
100.475,123.630,49.783
107.252,123.481,49.842
102.857,123.266,49.768
106.238,122.655,49.789
100.490,122.520,49.741
108.697,122.387,49.880
102.214,122.184,49.823
104.877,122.123,49.816
103.869,121.865,49.810
100.506,121.421,49.806
107.295,121.297,49.826
102.211,121.074,49.773
103.228,120.791,49.803
104.250,120.514,49.823
108.375,120.462,49.860
100.592,120.307,49.817
105.262,120.200,49.823
102.594,119.687,49.849
103.610,119.400,49.833
108.372,119.359,49.810
100.587,119.192,49.792
105.993,119.073,49.834
107.371,119.057,49.815
104.969,118.831,49.779
108.414,118.254,49.770
103.986,118.003,49.865
106.025,118.004,49.839
107.405,117.977,49.808
104.986,117.754,49.756
100.672,117.534,49.806
101.670,117.256,49.813
106.029,116.890,49.766
108.787,116.857,49.760
104.340,116.611,49.810
107.083,116.613,49.767
100.371,116.120,49.808
105.368,115.809,49.797
106.435,115.492,49.739
103.369,115.256,49.765
101.080,115.027,49.813
109.162,114.934,49.785
105.405,114.669,49.734
104.403,114.428,49.758
107.841,114.370,49.759
106.799,114.132,49.732
101.441,113.673,49.749
103.428,113.603,49.755
105.420,113.565,49.701
108.171,113.003,49.712
102.420,112.806,49.712
104.447,112.734,49.743
103.430,112.527,49.688
101.410,112.397,49.670
107.195,112.046,49.693
106.178,111.735,49.677
102.457,111.537,49.710
103.822,111.499,49.694
105.181,111.489,49.717
107.933,110.946,49.673
108.964,110.639,49.680
105.217,110.412,49.728
109.319,117.824,49.784
102.803,110.503,49.698
107.603,109.956,49.660
109.338,109.671,49.683
101.457,109.440,49.593
106.951,108.841,49.670
107.996,108.569,49.687
109.402,108.563,49.709
104.364,115.551,49.796
109.408,119.897,49.864
100.069,114.944,49.724
109.397,112.755,49.734
109.354,118.832,49.816
105.818,125.066,49.820
111.025,124.902,49.894
113.156,124.882,49.970
114.578,124.896,49.940
116.005,124.880,50.005
113.906,123.778,49.976
112.826,123.506,49.888
110.421,122.635,49.879
111.842,122.657,49.936
113.939,122.670,49.901
115.012,122.384,49.895
112.842,121.820,49.818
111.838,121.542,49.877
110.777,121.272,49.838
115.044,121.277,49.916
116.098,121.027,49.963
112.548,120.444,49.869
114.303,120.166,49.833
116.126,119.916,49.915
111.863,119.333,49.817
114.388,119.095,49.910
115.453,118.811,49.882
110.858,118.504,49.829
113.675,117.977,49.850
115.490,117.698,49.923
110.560,117.134,49.791
111.948,117.116,49.832
115.162,116.332,49.872
111.243,116.039,49.783
113.759,115.765,49.826
115.159,115.224,49.822
110.571,114.920,49.757
111.623,114.644,49.759
113.054,114.622,49.793
115.200,114.119,49.801
112.386,113.542,49.727
114.126,113.272,49.756
115.583,112.754,49.764
110.996,112.453,49.747
113.436,112.154,49.698
112.125,124.465,49.908
114.566,112.348,49.713
116.001,111.817,49.750
110.000,111.498,49.699
111.084,111.193,49.734
112.456,111.216,49.728
114.578,111.249,49.721
110.031,110.393,49.673
113.907,110.125,49.702
110.773,109.698,49.695
116.060,109.505,49.732
113.548,109.164,49.695
114.999,109.226,49.688
111.816,108.872,49.672
116.155,113.681,49.769
110.740,108.671,49.714
116.144,116.584,49.890
116.111,114.815,49.872
97.103,135.613,49.730
99.054,135.539,49.693
99.460,134.153,49.769
97.165,133.927,49.757
99.105,133.149,49.764
97.504,132.347,49.780
99.140,132.012,49.769
96.786,131.571,49.798
99.425,130.996,49.778
97.797,130.187,49.816
96.816,129.917,49.784
98.015,128.969,49.799
99.051,128.625,49.820
97.126,128.176,49.834
97.108,127.065,49.818
98.429,126.469,49.809
99.423,127.635,49.796
99.408,126.139,49.838
97.034,126.004,49.801
100.396,135.513,49.725
103.079,135.484,49.754
105.116,135.480,49.773
107.169,135.501,49.768
109.246,135.521,49.753
106.147,135.215,49.777
108.257,134.684,49.798
101.770,134.408,49.757
105.140,134.344,49.782
109.370,134.384,49.868
102.765,134.113,49.772
106.185,134.108,49.785
107.269,133.849,49.844
100.769,133.399,49.786
103.438,133.358,49.773
101.749,133.108,49.775
106.520,133.130,49.801
105.488,132.838,49.783
107.955,132.588,49.833
102.772,132.267,49.797
103.784,132.004,49.775
106.572,132.026,49.818
101.419,131.701,49.760
105.511,131.705,49.793
107.538,131.622,49.812
103.092,131.267,49.789
104.787,131.007,49.770
106.523,130.775,49.814
102.445,130.175,49.841
108.652,130.236,49.864
103.468,129.888,49.838
107.586,129.935,49.778
104.467,129.633,49.775
105.840,129.641,49.738
100.976,129.692,49.791
107.070,129.018,49.824
109.163,129.008,49.865
101.973,128.863,49.808
108.104,128.735,49.878
103.656,128.530,49.812
101.000,128.040,49.797
102.020,127.729,49.809
108.143,127.672,49.859
103.722,127.423,49.840
109.189,127.390,49.880
106.099,127.091,49.823
100.347,126.958,49.780
107.150,126.842,49.802
101.739,126.350,49.792
103.760,126.312,49.810
109.262,126.243,49.889
100.421,125.846,49.788
107.716,125.968,49.789
106.317,126.037,49.835
102.460,125.444,49.827
110.684,135.554,49.780
114.156,135.603,49.769
115.614,135.601,49.782
110.729,134.420,49.802
112.101,134.451,49.788
113.169,134.183,49.806
114.584,134.216,49.815
110.057,133.138,49.835
112.804,133.218,49.818
114.261,133.256,49.824
115.663,133.294,49.798
111.800,132.381,49.884
110.809,132.087,49.910
113.600,132.132,49.869
76.635,138.083,49.630
76.544,136.821,49.586
77.762,139.553,49.637
78.847,139.075,49.666
79.693,138.435,49.699
77.829,138.382,49.646
79.274,137.342,49.663
78.601,136.298,49.683
86.629,139.603,49.753
89.450,139.414,49.778
84.780,139.525,49.776
81.041,139.647,49.714
88.279,138.963,49.762
85.828,138.832,49.738
89.162,138.389,49.779
82.003,138.676,49.743
84.502,138.438,49.782
80.821,138.535,49.688
86.403,138.014,49.818
88.038,137.868,49.781
85.286,137.523,49.774
88.918,136.984,49.816
83.732,137.080,49.793
86.995,136.862,49.846
82.491,136.948,49.760
85.864,136.659,49.867
94.527,139.977,49.702
96.123,139.655,49.749
94.550,138.841,49.722
90.586,138.823,49.721
95.510,138.537,49.746
92.084,138.399,49.714
93.599,138.409,49.720
91.176,137.958,49.702
92.357,137.372,49.671
90.087,136.915,49.781
91.212,136.821,49.718
96.124,136.661,49.678
93.024,136.191,49.679
94.635,136.587,49.632
96.272,137.843,49.732
97.993,140.110,49.679
99.335,138.969,49.704
97.745,137.998,49.717
99.016,137.931,49.696
98.386,136.841,49.722
97.387,136.945,49.698
99.497,136.785,49.691
100.561,140.210,49.701
108.032,140.074,49.722
109.117,140.201,49.736
101.944,139.990,49.710
106.009,139.963,49.725
100.332,139.217,49.698
105.032,139.132,49.727
107.103,139.133,49.747
102.669,138.864,49.707
108.133,138.823,49.755
103.689,138.599,49.712
106.061,138.306,49.765
100.361,138.114,49.702
105.068,138.030,49.731
101.350,137.624,49.712
104.040,137.592,49.725
106.804,137.585,49.776
105.408,137.037,49.736
108.854,137.044,49.701
102.730,136.483,49.746
104.040,136.457,49.753
101.011,136.596,49.718
112.892,140.063,49.728
114.021,139.692,49.748
110.179,139.377,49.744
111.932,139.112,49.713
115.469,139.156,49.769
113.004,138.865,49.765
114.068,138.591,49.739
115.496,138.026,49.761
112.342,137.597,49.734
113.755,137.625,49.744
110.242,137.040,49.714
114.828,136.801,49.758
111.677,136.513,49.734
115.888,137.002,49.768
85.435,125.041,50.757
82.816,125.043,50.930
80.884,125.086,51.142
79.450,125.037,51.227
83.956,124.381,51.213
77.763,125.065,51.217
85.164,123.989,51.161
81.597,124.161,51.230
82.741,123.693,51.175
78.252,124.117,51.152
83.950,123.273,51.146
85.887,123.065,51.042
77.021,124.062,51.116
84.743,122.610,50.830
83.364,122.459,50.690
86.729,122.167,51.069
86.035,121.123,50.853
87.393,120.175,50.861
88.385,119.556,50.527
87.487,119.062,50.876
88.538,118.441,50.751
88.235,117.342,51.090
89.261,115.624,50.882
89.128,114.538,50.706
86.526,119.666,50.592
87.337,117.728,50.647
89.228,113.475,50.507
88.336,116.289,50.805
89.955,112.789,51.010
90.611,111.671,50.666
91.217,110.873,50.649
90.914,113.022,50.823
77.555,126.288,50.532
78.851,125.857,50.735
80.191,125.752,50.776
80.242,132.532,49.782
100.457,109.115,49.540
116.515,118.717,49.888
116.707,112.835,49.755
116.659,117.707,50.009
116.683,115.690,49.842
100.487,124.718,49.784
113.757,128.214,49.949
111.300,127.898,49.927
112.389,127.650,49.962
114.850,127.380,49.978
113.802,127.104,49.978
111.358,126.816,49.939
110.279,126.548,49.888
113.834,125.993,49.979
115.677,128.182,49.983
110.006,125.318,49.915
